k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
5,Alt2,Replication,0.8507,0.9358,0.946,0.957,0.9732,0.9845,50.0
5,Alt2,NUTS,0.6675,0.9227,0.9368,0.9496,0.9707,0.9836,50.0
5,Alt2,HMC,0.6047,0.9278,0.936,0.9565,0.9714,0.9837,50.0
5,Alt3,bayesm,0.8728,0.9363,0.9502,0.956,0.9702,0.9907,50.0
5,Alt3,Replication,0.8753,0.9363,0.9494,0.9548,0.969,0.9909,50.0
5,Alt3,NUTS,0.6096,0.9321,0.9353,0.951,0.969,0.9908,50.0
5,Alt3,HMC,0.8094,0.9243,0.941,0.9496,0.9682,0.991,50.0
5,Price,bayesm,0.8587,0.9682,0.9739,0.9808,0.9839,0.9925,50.0
5,Price,Replication,0.8573,0.9685,0.9733,0.9807,0.984,0.9932,50.0
5,Price,NUTS,0.85,0.9685,0.9731,0.9791,0.9836,0.9893,50.0
5,Price,HMC,0.851,0.9679,0.9725,0.9785,0.9835,0.9934,50.0
