k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
2,Mean,Alt2,nuts,2.91,10.723,32.028,207.849,0.18,100
2,Mean,Alt2,hmc,3.254,10.952,37.723,288.906,0.2,100
2,Mean,Alt3,bayesm,3.332,15.606,63.215,145.77,0.13,100
2,Mean,Alt3,bayesm_gibbs,3.803,13.433,53.307,218.118,0.12,100
2,Mean,Alt3,nuts,3.062,8.185,41.532,217.126,0.18,100
2,Mean,Alt3,hmc,2.791,14.524,38.396,201.782,0.16,100
2,Mean,Price,bayesm,5.22,47.128,179.779,578.437,0.33,100
2,Mean,Price,bayesm_gibbs,5.075,43.303,155.743,502.491,0.29,100
2,Mean,Price,nuts,2.912,9.124,33.88,402.957,0.25,100
2,Mean,Price,hmc,2.824,9.172,33.937,187.299,0.15,100
2,Var,Alt1,bayesm,3.028,16.47,56.553,205.591,0.16,100
2,Var,Alt1,bayesm_gibbs,2.811,15.356,63.092,197.296,0.13,100
2,Var,Alt1,nuts,3.106,12.565,28.565,228.165,0.15,100
2,Var,Alt1,hmc,3.455,12.408,46.737,129.074,0.14,100
2,Var,Alt2,bayesm,3.253,16.42,54.048,175.802,0.17,100
2,Var,Alt2,bayesm_gibbs,3.133,16.518,71.518,181.73,0.17,100
2,Var,Alt2,nuts,2.928,10.325,41.307,201.25,0.18,100
2,Var,Alt2,hmc,4.048,12.625,27.653,127.903,0.17,100
2,Var,Alt3,bayesm,3.14,14.575,49.224,141.132,0.11,100
2,Var,Alt3,bayesm_gibbs,4.653,14.978,66.223,202.393,0.15,100
2,Var,Alt3,nuts,2.827,10.672,26.474,185.24,0.15,100
2,Var,Alt3,hmc,3.261,13.26,43.205,221.964,0.14,100
2,Var,Price,bayesm,5.056,38.584,170.504,353.549,0.22,100
2,Var,Price,bayesm_gibbs,5.372,35.276,123.346,290.846,0.17,100
2,Var,Price,nuts,2.903,12.746,30.401,110.372,0.12,100
2,Var,Price,hmc,3.46,13.625,51.186,176.331,0.19,100
3,density,Alt1,bayesm,3.095,18.86,117.98,408.375,0.26,100
3,density,Alt1,bayesm_gibbs,4.171,19.039,89.08,464.046,0.3,100
3,density,Alt1,nuts,3.115,20.324,62.805,528.419,0.29,100
3,density,Alt1,hmc,2.901,12.402,37.454,196.186,0.12,100
3,density,Alt2,bayesm,3.451,29.961,128.443,477.842,0.3,100
3,density,Alt2,bayesm_gibbs,5.273,32.488,156.518,559.663,0.33,100
3,density,Alt2,nuts,2.91,14.262,66.919,651.737,0.27,100
3,density,Alt2,hmc,3.341,10.99,34.154,174.693,0.14,100
3,density,Alt3,bayesm,3.574,19.619,61.4,583.598,0.29,100
3,density,Alt3,bayesm_gibbs,3.634,24.38,117.323,641.361,0.32,100
3,density,Alt3,nuts,2.891,16.485,90.949,357.857,0.25,100
3,density,Alt3,hmc,2.963,14.036,47.641,276.481,0.21,100
3,density,Price,bayesm,4.292,30.889,93.557,742.48,0.34,100
3,density,Price,bayesm_gibbs,4.607,50.981,226.333,697.889,0.39,100
3,density,Price,nuts,2.826,18.721,122.393,561.426,0.32,100
3,density,Price,hmc,2.903,19.875,88.14,223.375,0.15,100
3,Mean,Alt1,bayesm,3.62,23.924,70.249,238.868,0.17,100
3,Mean,Alt1,bayesm_gibbs,3.032,16.739,68.006,194.671,0.12,100
3,Mean,Alt1,nuts,2.76,9.335,35.37,164.194,0.2,100
3,Mean,Alt1,hmc,2.823,9.542,33.909,232.97,0.13,100
3,Mean,Alt2,bayesm,3.253,25.548,74.217,249.208,0.15,100
3,Mean,Alt2,bayesm_gibbs,3.424,20.608,68.147,285.879,0.15,100
3,Mean,Alt2,nuts,2.924,9.969,35.326,136.726,0.16,100
3,Mean,Alt2,hmc,2.743,9.374,27.912,111.135,0.11,100
3,Mean,Alt3,bayesm,2.668,19.025,66.047,181.222,0.1,100
3,Mean,Alt3,bayesm_gibbs,3.035,23.304,62.565,222.273,0.13,100
3,Mean,Alt3,nuts,3.231,8.487,33.638,140.114,0.13,100
3,Mean,Alt3,hmc,2.921,7.562,42.621,183.047,0.13,100
3,Mean,Price,bayesm,7.279,50.343,215.737,620.28,0.35,100
3,Mean,Price,bayesm_gibbs,8.273,42.178,165.503,668.56,0.37,100
3,Mean,Price,nuts,2.775,14.174,45.08,316.231,0.23,100
3,Mean,Price,hmc,2.718,12.955,78.256,271.029,0.17,100
3,Var,Alt1,bayesm,3.033,11.282,52.457,177.547,0.07,100
3,Var,Alt1,bayesm_gibbs,3.157,14.823,41.74,132.045,0.09,100
3,Var,Alt1,nuts,3.136,8.613,40.063,175.688,0.17,100
3,Var,Alt1,hmc,3.101,8.377,24.661,89.634,0.11,100
3,Var,Alt2,bayesm,2.885,23.054,64.357,193.002,0.11,100
3,Var,Alt2,bayesm_gibbs,2.852,15.359,53.302,154.853,0.12,100
3,Var,Alt2,nuts,2.862,11.476,38.393,143.213,0.14,100
3,Var,Alt2,hmc,3.115,13.143,51.354,168.399,0.12,100
3,Var,Alt3,bayesm,2.855,14.915,43.574,190.586,0.09,100
3,Var,Alt3,bayesm_gibbs,2.964,15.236,51.863,133.173,0.08,100
3,Var,Alt3,nuts,2.924,12.736,35.299,139.027,0.13,100
3,Var,Alt3,hmc,3.137,10.579,28.372,188.71,0.12,100
3,Var,Price,bayesm,5.56,26.302,92.787,266.042,0.14,100
3,Var,Price,bayesm_gibbs,6.542,35.78,111.583,316.664,0.18,100
3,Var,Price,nuts,4.019,14.38,75.166,275.069,0.19,100
3,Var,Price,hmc,4.552,14.455,58.453,228.146,0.13,100
5,density,Alt1,bayesm,2.891,17.221,76.592,260.899,0.14,100
5,density,Alt1,bayesm_gibbs,2.925,17.285,80.209,271.859,0.19,100
5,density,Alt1,nuts,2.526,8.54,79.594,516.988,0.29,100
5,density,Alt1,hmc,2.548,4.826,10.521,96.986,0.09,100
5,density,Alt2,bayesm,2.909,23.27,120.436,335.682,0.21,100
5,density,Alt2,bayesm_gibbs,2.985,18.359,83.427,282.299,0.16,100
5,density,Alt2,nuts,3.244,9.122,82.927,477.385,0.31,100
5,density,Alt2,hmc,2.862,5.979,17.266,205.118,0.17,100
5,density,Alt3,bayesm,3.19,22.512,102.16,345.808,0.22,100
5,density,Alt3,bayesm_gibbs,3.371,28.873,108.93,272.79,0.2,100
5,density,Alt3,nuts,2.592,10.974,106.607,544.168,0.35,100
5,density,Alt3,hmc,2.907,4.992,15.375,128.044,0.11,100
5,density,Price,bayesm,3.553,56.696,219.281,374.259,0.23,100
5,density,Price,bayesm_gibbs,4.441,29.682,148.978,339.166,0.19,100
5,density,Price,nuts,2.817,17.182,315.144,1012.646,0.46,100
5,density,Price,hmc,2.781,6.421,32.096,210.921,0.18,100
5,Mean,Alt1,bayesm,3.16,23.784,224.026,870.613,0.4,100
5,Mean,Alt1,bayesm_gibbs,3.072,26.14,223.75,844.144,0.43,100
5,Mean,Alt1,nuts,2.76,9.079,121.118,955.015,0.35,100
5,Mean,Alt1,hmc,2.506,7.067,36.747,224.863,0.15,100
5,Mean,Alt2,bayesm,3.097,34.453,257.448,725.483,0.45,100
5,Mean,Alt2,bayesm_gibbs,3.244,27.914,246.289,960.643,0.39,100
5,Mean,Alt2,nuts,3.108,9.247,131.903,699.815,0.32,100
5,Mean,Alt2,hmc,2.781,9.507,40.912,138.752,0.17,100
5,Mean,Alt3,bayesm,2.935,30.744,186.587,625.221,0.38,100
5,Mean,Alt3,bayesm_gibbs,4.007,47.918,271.553,674.968,0.4,100
5,Mean,Alt3,nuts,3.077,10.617,107.36,1325.986,0.39,100
5,Mean,Alt3,hmc,2.816,8.506,40.224,216.306,0.17,100
5,Mean,Price,bayesm,6.486,191.016,690.695,1479.545,0.6,100
5,Mean,Price,bayesm_gibbs,3.918,228.947,901.832,1760.406,0.66,100
5,Mean,Price,nuts,3.029,42.17,483.458,2503.071,0.53,100
5,Mean,Price,hmc,3.057,13.696,86.976,512.424,0.26,100
5,Var,Alt1,bayesm,3.073,16.704,93.757,272.856,0.17,100
5,Var,Alt1,bayesm_gibbs,3.04,14.446,78.213,294.108,0.15,100
5,Var,Alt1,nuts,2.742,6.886,43.908,444.993,0.26,100
5,Var,Alt1,hmc,2.562,6.238,24.212,74.026,0.07,100
5,Var,Alt2,bayesm,3.026,21.093,99.935,296.313,0.18,100
5,Var,Alt2,bayesm_gibbs,3.179,26.364,120.523,326.984,0.2,100
5,Var,Alt2,nuts,3.093,9.249,37.049,297.989,0.23,100
5,Var,Alt2,hmc,2.862,7.812,18.216,70.736,0.08,100
5,Var,Alt3,bayesm,3.156,24.169,86.648,280.945,0.16,100
5,Var,Alt3,bayesm_gibbs,3.067,27.444,100.79,270.265,0.16,100
5,Var,Alt3,nuts,2.984,9.342,52.739,541.0,0.31,100
5,Var,Alt3,hmc,2.831,9.936,27.141,122.826,0.11,100
5,Var,Price,bayesm,3.639,96.723,199.589,382.695,0.24,100
5,Var,Price,bayesm_gibbs,3.629,64.123,264.316,480.054,0.29,100
5,Var,Price,nuts,3.056,19.981,246.256,1043.991,0.45,100
5,Var,Price,hmc,3.534,11.775,48.765,151.107,0.14,100
